Year,Month,New Clients (Yt),New Clients (Yt-1)
1985,Jan,182.00,
1985,Feb,136.00,182.00
1985,Mar,99.00,136.00
1985,Apr,77.00,99.00
1985,May,75.00,77.00
1985,Jun,63.00,75.00
1985,Jul,87.00,63.00
1985,Aug,73.00,87.00
1985,Sep,83.00,73.00
1985,Oct,82.00,83.00
1985,Nov,74.00,82.00
1985,Dec,75.00,74.00
1986,Jan,102.00,75.00
1986,Feb,121.00,102.00
1986,Mar,128.00,121.00
1986,Apr,128.00,128.00
1986,May,112.00,128.00
1986,Jun,122.00,112.00
1986,Jul,104.00,122.00
1986,Aug,108.00,104.00
1986,Sep,97.00,108.00
1986,Oct,141.00,97.00
1986,Nov,97.00,141.00
1986,Dec,87.00,97.00
1987,Jan,145.00,87.00
1987,Feb,103.00,145.00
1987,Mar,113.00,103.00
1987,Apr,150.00,113.00
1987,May,100.00,150.00
1987,Jun,131.00,100.00
1987,Jul,96.00,131.00
1987,Aug,92.00,96.00
1987,Sep,88.00,92.00
1987,Oct,118.00,88.00
1987,Nov,102.00,118.00
1987,Dec,98.00,102.00
1988,Jan,101.00,98.00
1988,Feb,153.00,101.00
1988,Mar,138.00,153.00
1988,Apr,107.00,138.00
1988,May,100.00,107.00
1988,Jun,114.00,100.00
1988,Jul,78.00,114.00
1988,Aug,106.00,78.00
1988,Sep,94.00,106.00
1988,Oct,93.00,94.00
1988,Nov,103.00,93.00
1988,Dec,104.00,103.00
1989,Jan,150.00,104.00
1989,Feb,102.00,150.00
1989,Mar,151.00,102.00
1989,Apr,100.00,151.00
1989,May,100.00,100.00
1989,Jun,98.00,100.00
1989,Jul,97.00,98.00
1989,Aug,120.00,97.00
1989,Sep,98.00,120.00
1989,Oct,135.00,98.00
1989,Nov,141.00,135.00
1989,Dec,67.00,141.00
1990,Jan,127.00,67.00
1990,Feb,146.00,127.00
1990,Mar,175.00,146.00
1990,Apr,110.00,175.00
1990,May,153.00,110.00
1990,Jun,117.00,153.00
1990,Jul,121.00,117.00
1990,Aug,121.00,121.00
1990,Sep,131.00,121.00
1990,Oct,147.00,131.00
1990,Nov,121.00,147.00
1990,Dec,110.00,121.00
1991,Jan,171.00,110.00
1991,Feb,185.00,171.00
1991,Mar,172.00,185.00
1991,Apr,168.00,172.00
1991,May,142.00,168.00
1991,Jun,152.00,142.00
1991,Jul,151.00,152.00
1991,Aug,141.00,151.00
1991,Sep,128.00,141.00
1991,Oct,151.00,128.00
1991,Nov,121.00,151.00
1991,Dec,126.00,121.00
1992,Jan,166.00,126.00
1992,Feb,138.00,166.00
1992,Mar,175.00,138.00
1992,Apr,108.00,175.00
1992,May,112.00,108.00
1992,Jun,147.00,112.00
1992,Jul,168.00,147.00
1992,Aug,149.00,168.00
1992,Sep,145.00,149.00
1992,Oct,149.00,145.00
1992,Nov,169.00,149.00
1992,Dec,138.00,169.00
